,Name,Author
110,atkis-seilbahn-und-schwebebahn-linien-wfs-c8dc1e0b,Senatsverwaltung für Stadtentwicklung und Wohnen Berlin
111,atkis-sonstiges-bauwerk-oder-sonstige-einrichtung-linien-wfs-0c6bcd35,Senatsverwaltung für Stadtentwicklung und Wohnen Berlin
112,atkis-sonstiges-bauwerk-oder-sonstige-einrichtung-punkte-wfs-7adb97bc,Senatsverwaltung für Stadtentwicklung und Wohnen Berlin
113,atkis-sport-freizeit-und-erholungsflache-flache-wfs-e3c3b12c,Senatsverwaltung für Stadtentwicklung und Wohnen Berlin
114,atkis-stehendes-gewasser-flache-wfs-05c98278,Senatsverwaltung für Stadtentwicklung und Wohnen Berlin
115,atkis-strassenachse-linien-wfs-e650879e,Senatsverwaltung für Stadtentwicklung und Wohnen Berlin
116,atkis-strassenverkehr-flache-wfs-e90f5753,Senatsverwaltung für Stadtentwicklung und Wohnen Berlin
117,atkis-strassenverkehrsanlage-punkte-wfs-9095ed12,Senatsverwaltung für Stadtentwicklung und Wohnen Berlin
118,atkis-sumpf-flache-wfs-c5deeb73,Senatsverwaltung für Stadtentwicklung und Wohnen Berlin
119,atkis-tagebau-grube-steinbruch-flache-wfs-91d31533,Senatsverwaltung für Stadtentwicklung und Wohnen Berlin
120,atkis-transportanlage-flache-wfs-20680107,Senatsverwaltung für Stadtentwicklung und Wohnen Berlin
121,atkis-transportanlage-linien-wfs-3c0a0b1a,Senatsverwaltung für Stadtentwicklung und Wohnen Berlin
122,atkis-transportanlage-punkte-wfs-b970fbba,Senatsverwaltung für Stadtentwicklung und Wohnen Berlin
123,atkis-turm-flache-wfs-09d4bb5e,Senatsverwaltung für Stadtentwicklung und Wohnen Berlin
124,atkis-turm-punkte-wfs-9ab182c2,Senatsverwaltung für Stadtentwicklung und Wohnen Berlin
125,atkis-unland-vegetationslose-flache-flache-wfs-86438681,Senatsverwaltung für Stadtentwicklung und Wohnen Berlin
126,atkis-vegetationsmerkmal-flache-wfs-4907b6ca,Senatsverwaltung für Stadtentwicklung und Wohnen Berlin
127,atkis-vegetationsmerkmal-linien-wfs-6c450fca,Senatsverwaltung für Stadtentwicklung und Wohnen Berlin
128,atkis-vegetationsmerkmal-punkte-wfs-5e6776db,Senatsverwaltung für Stadtentwicklung und Wohnen Berlin
129,atkis-vorratsbehalter-speicherbauwerk-flache-wfs-06ef6713,Senatsverwaltung für Stadtentwicklung und Wohnen Berlin
130,atkis-vorratsbehalter-speicherbauwerk-punkte-wfs-15477d2b,Senatsverwaltung für Stadtentwicklung und Wohnen Berlin
131,atkis-wald-flache-wfs-336dfb8e,Senatsverwaltung für Stadtentwicklung und Wohnen Berlin
132,atkis-weg-pfad-steig-linien-wfs-0b3d6dc1,Senatsverwaltung für Stadtentwicklung und Wohnen Berlin
133,atkis-wohnbauflache-geschlossen-flache-wfs-a4267820,Senatsverwaltung für Stadtentwicklung und Wohnen Berlin
134,atkis-wohnbauflache-offen-flache-wfs-a0e084f1,Senatsverwaltung für Stadtentwicklung und Wohnen Berlin
135,aufgrabeverbote-wfs-0418b8d1,"Senatsverwaltung für Umwelt, Verkehr und Klimaschutz Berlin"
136,aufgrabeverbote-wms-a697f424,"Senatsverwaltung für Umwelt, Verkehr und Klimaschutz Berlin"
137,auslanderanteil-2014-v-2-wms-155ef27d,Senatsverwaltung für Stadtentwicklung und Wohnen Berlin
138,auslanderanteil-2014-wms-f97089ab,Senatsverwaltung für Stadtentwicklung und Wohnen Berlin
139,auslanderanteil-veranderung-2013-2014-v-2-wms-1e492385,Senatsverwaltung für Stadtentwicklung und Wohnen Berlin
140,auslanderanteil-veranderung-2013-2014-wms-99b31ad9,Senatsverwaltung für Stadtentwicklung und Wohnen Berlin
141,auslandische-einwohnerinnen-und-einwohner-in-berlin-in-lor-planungsraumen-am-31-12-2015,Amt für Statistik Berlin-Brandenburg
142,auslandische-einwohnerinnen-und-einwohner-in-berlin-in-lor-planungsraumen-am-31-12-2016,Amt für Statistik Berlin-Brandenburg
143,auslandische-einwohnerinnen-und-einwohner-in-berlin-in-lor-planungsraumen-am-31-12-2017,Amt für Statistik Berlin-Brandenburg
144,auslandische-einwohnerinnen-und-einwohner-in-berlin-in-lor-planungsraumen-am-31-12-2018,Amt für Statistik Berlin-Brandenburg
145,auslandische-transferbeziehende-sgb-ii-2014-v-2-wms-b7507bca,Senatsverwaltung für Stadtentwicklung und Wohnen Berlin
